container_type,category,inside_length_mm,inside_width_mm,inside_height_mm,door_width_mm,door_height_mm,roof_opening_width_mm,roof_opening_length_mm,capacity_m3,volume_is_computed_from_dims,max_gross_kg,tare_kg,max_payload_kg,iso_size_type,iso_type_group,source_publisher,source_url,resotainer_expert_note,external_length_mm,external_width_mm,external_height_mm,common_usages,iso_code
20' Standard (GP),Dry / General Purpose,5900,2352,2395,2340.0,2292.0,,,33.2,no,30480.0,2350.0,28130.0,22 G1,22 GP,Hapag-Lloyd,https://www.hapag-lloyd.com/en/services-information/cargo-fleet/container/20-standard.html,Type universel. Très forte réutilisation. Base pour benchmarks de charge volumique.,6058.0,2438.0,2591.0,"General storage, BTP tools, logistics, shipping",22 G1
40' Standard (GP),Dry / General Purpose,12032,2352,2395,2340.0,2292.0,,,67.7,no,32500.0,3750.0,28750.0,42 G1,42 GP,Hapag-Lloyd,https://www.hapag-lloyd.com/en/services-information/cargo-fleet/container/40-standard.html,Volume doublé vs 20'. Optimiser calage pour limiter l’air.,12192.0,2438.0,2591.0,"General storage, BTP tools, logistics, shipping",42 G1
40' High Cube (GP),Dry / General Purpose,12032,2350,2700,2340.0,2597.0,,,76.3,no,32500.0,3900.0,28600.0,45 G1,45 GP,Hapag-Lloyd,https://www.hapag-lloyd.com/en/services-information/cargo-fleet/container/40-standard-high-cube.html,Idéal charges volumineuses. Attention gabarits/hauteurs d’entrepôt.,12192.0,2438.0,2896.0,"General storage, BTP tools, logistics, shipping",45 G1
45' High Cube (GP),Dry / General Purpose,13556,2352,2700,2340.0,2597.0,,,86.0,no,32500.0,4800.0,27700.0,L5 G1,L5 GP,Hapag-Lloyd,https://www.hapag-lloyd.com/en/services-information/cargo-fleet/container/45-standard-high-cube.html,Volume maximal ISO. Vérifier compatibilité portes/rampe.,13716.0,2438.0,2896.0,"General storage, BTP tools, logistics, shipping",L5 G1
20' Reefer,Reefer (Refrigerated),5450,2280,2159,2290.0,2264.0,,,28.1,no,32000.0,2860.0,29140.0,22 R1,22 RT,Hapag-Lloyd,https://www.hapag-lloyd.com/en/services-information/cargo-fleet/container/20-reefer.html,Chaîne du froid stricte. Optimiser consigne de température.,6058.0,2438.0,2591.0,"Cold chain, food storage, pharmaceuticals",22 R1
40' Reefer High Cube,Reefer (Refrigerated),11599,2290,2425,2290.0,2557.0,,,67.7,no,34000.0,4420.0,29580.0,45 R1,45 RT,Hapag-Lloyd,https://www.hapag-lloyd.com/en/services-information/cargo-fleet/container/40-reefer-high-cube.html,Export agro/pharma. Surveiller consommation énergétique.,,,,"Cold chain, food storage, pharmaceuticals",45 R1
20' Open Top,Open Top / Special,5895,2350,2340,2338.0,2280.0,2230.0,5338.0,32.5,no,32500.0,2450.0,30050.0,22 U1,22 UT,Hapag-Lloyd,https://www.hapag-lloyd.com/en/services-information/cargo-fleet/container/20-open-top.html,Chargement par le haut; prévoir bâche/réemploi.,6058.0,2438.0,2591.0,,22 U1
40' Open Top,Open Top / Special,12029,2350,2344,2340.0,2276.0,2230.0,11552.0,66.8,no,32500.0,4050.0,28450.0,42 U1,42 UT,Hapag-Lloyd,https://www.hapag-lloyd.com/en/services-information/cargo-fleet/container/40-open-top.html,Grande ouverture toit; arrimage renforcé.,12192.0,2438.0,2591.0,,42 U1
20' Hardtop,Hardtop / Special,5886,2342,2313,2336.0,2276.0,2208.0,5590.0,31.9,yes,30480.0,2700.0,27780.0,22 U6,22 UP,Hapag-Lloyd,https://www.hapag-lloyd.com/en/services-information/cargo-fleet/container/20-hardtop.html,Toit démontable; utile équipements; attention manutention.,,,,,22 U6
40' Hardtop,Hardtop / Special,12020,2342,2313,2336.0,2276.0,2208.0,11724.0,67.2,no,30480.0,4700.0,25780.0,42 U6,42 UP,Hapag-Lloyd,https://www.hapag-lloyd.com/pt/services-information/cargo-fleet/container/40-hardtop.html,Polyvalent; toit démontable; utile pour machines.,,,,,42 U6
40' Hardtop High Cube,Hardtop / Special,12032,2352,2620,2340.0,2581.0,2212.0,11724.0,74.1,yes,,,,45 U6,45 UP,Hapag-Lloyd,https://www.hapag-lloyd.com/en/services-information/cargo-fleet/container/40-hardtop-high-cube.html,Hauteur supplémentaire; attention restrictions en rail/route.,,,,,45 U6
20' Flatrack,Flatrack / Platform,5638,2438,2233,,,,,30.7,yes,45000.0,2900.0,42100.0,22 P3,22 PC,Hapag-Lloyd,https://www.hapag-lloyd.com/en/services-information/cargo-fleet/container/20-flatrack.html,Projet/industrie; charges hors gabarit; expertise arrimage indispensable.,,,,,22 P3
40' Flatrack High Cube / 40' Platform,Flatrack / Platform,11652,2347,2265,,,,,61.9,yes,55000.0,5900.0,49100.0,45 P3,45 PC,Hapag-Lloyd,https://www.hapag-lloyd.com/en/services-information/cargo-fleet/container/40-flatrack-high-cube.html,,,,,,45 P3
8' DRY,Dry / General Purpose,2280,2110,2060,,,,,10.0,,,,,,,Resotainer,,"Smaller, ideal for tight spaces",2438.0,2438.0,2591.0,"General storage, compact goods",8 G1
10' DRY,Dry / General Purpose,2840,2350,2400,,,,,16.0,,,,,,,Resotainer,,Popular for businesses needing extra space,2990.0,2430.0,2600.0,Small storage for businesses and moving,10 G1
20' Double portes,Dry / General Purpose,5890,2350,2390,,,,,33.0,,,,,,,Resotainer,,Two doors for better accessibility,6058.0,2438.0,2591.0,Easy access for loading/unloading,22 G1
